TEAMS,APP
Arizona,1
Arkansas,1
Connecticut,4
Duke,5
Florida,2
Indiana,1
Kansas,2
Kentucky,3
Louisville,2
Maryland,1
Michigan,1
Michigan State,1
North Carolina,4
Syracuse,1
UCLA,1
UNLV,1
Villanova,2
