TEAM1 ,APP
Arizona,2
Arkansas,2
Butler,2
Connecticut,4
Duke,9
Florida,3
Georgetown,1
Georgia Tech,1
Gonzaga,1
Illinois,1
Indiana,2
Kansas,5
Kentucky,5
Louisville,2
Maryland,1
Memphis,1
Michigan,4
Michigan State,2
North Carolina,5
Ohio State,1
Oklahoma,1
Seton Hall,1
Syracuse,3
UCLA,2
UNLV,1
Utah,1
Villanova,2
Wisconsin,1
